docId,filename,0 règne serait cabinet,1 déjà toute conseil,2 attendez oubliez épousez,3 exprès nation affaire,4 mieux prenez monsieur,5 dernière disais jamais,6 de à ne,7 corps kiril виконт,8 sacrifices descendre serai,9 général venez vienne
53,Война и мир. 10_49.txt,0.04214224369531446,0.0242410601082795,0.02276357981726251,0.020567087900432796,0.08830491050765468,0.040247975626459584,0.604497860209629,0.047457185571435245,0.04928461604006403,0.06049348052346818
54,Война и мир. 10_5.txt,0.049071340536212225,0.028226814977685463,0.02650640495347743,0.02394876223243331,0.06171873863957587,0.04686561380401202,0.5942759630667453,0.04155837050316709,0.04368627008726786,0.08414172119942342
55,Война и мир. 10_50.txt,0.031107278966650574,0.024825301042492868,0.023312211563525767,0.033113428712145204,0.06633187845280568,0.02916735658477247,0.6190670413015991,0.04860096518790188,0.0384217917323453,0.0860527464557612
56,Война и мир. 10_51.txt,0.03586089611209298,0.02861894615053588,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6164238853080188,0.05602785654827905,0.04429316634319766,0.07141847979529235
57,Война и мир. 10_52.txt,0.04652162016797589,0.03975002997041139,0.025129146458802147,0.022704397473067853,0.0585118662922624,0.044430501806250175,0.6153571650381565,0.039399020002757544,0.04141635507299223,0.06677989771732382
58,Война и мир. 10_53.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.07754557032476514,0.04818608636523649,0.5969322565046857,0.042729307646295574,0.044917162340033796,0.07242461345363328
59,Война и мир. 10_54.txt,0.03227404849911399,0.025756446608830127,0.024186604280928777,0.021852802601883037,0.06881984967307128,0.04276400581104693,0.5797737515732864,0.06292652877689701,0.05236555563174571,0.08928040654319676
60,Война и мир. 10_55.txt,0.04592505983764366,0.026417011492068012,0.024806908070321657,0.022413252349410887,0.07058484375995577,0.03103746426979109,0.6202895525142642,0.05171708708372937,0.040885261048874195,0.06592355957394112
61,Война и мир. 10_56.txt,0.029339480311209247,0.0461461413861219,0.021987399570115918,0.031231622372955594,0.05119647759904441,0.02750980197163459,0.6407151183617068,0.034473196170504296,0.04760413582712791,0.06979662642957936
62,Война и мир. 10_57.txt,0.03636609945302187,0.029022125902762964,0.027253242081955946,0.024623535927609155,0.06345770873453209,0.03409822477500343,0.6110201180949189,0.042729307646295574,0.05900502393026686,0.07242461345363328
63,Война и мир. 10_58.txt,0.03586089611209298,0.02861894615053588,0.02687463593067667,0.024281462051025805,0.0625761446695767,0.033624527091304104,0.6303160361993048,0.04213570565699306,0.04429316634319766,0.07141847979529235
64,Война и мир. 10_59.txt,0.034891461223815576,0.027845284366476174,0.02614812843907593,0.023625056355611233,0.10143431570478424,0.03271554842099289,0.5727267701058677,0.054513244122434315,0.05661238173570856,0.06948780952523338
65,Война и мир. 10_6.txt,0.034426136848963396,0.027473930198839088,0.02579940811918395,0.0233099845817751,0.06007253452734894,0.03227924275814625,0.6184340496869118,0.040449897421445766,0.05585737978921281,0.08189743606817282
